Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,RW16-5201,Unknown,5,TSS,12.7,mg/L,,,,,,12.7,mg/L
140,RW16-5201,Unknown,5,Nitrate-Nitrite,0.068,mg/L,,,,,,0.0676,mg/L
140,RW16-5201,Duplicate Set,55,Nitrate-Nitrite,0.041,mg/L,,,,,,0.0412,mg/L
140,RW16-5201,Unknown,5,Total Phosphorus,0.0575,mg/L,,,,,,57.5,ppb
140,RW16-5201,Duplicate Set,55,Total Phosphorus,0.0602,mg/L,,,,,,60.2,ppb
140,RW16-5201,Duplicate Set,55,Chloride,1.09,mg/L,,1.4%,,,,1.09,mg/L
140,RW16-5201,Duplicate Set,55,Sulfate,282,mg/L,,0.4%,,,,282,mg/L
140,RW16-5201,Duplicate Set,55,TSS,11.9,mg/L,,,,,,11.9,mg/L
140,RW16-5201,Duplicate Set,55,Nitrate-Nitrite,0.054,mg/L,,26.0%,,,,0.0535,mg/L
140,RW16-5201,Duplicate Set,55,Total Phosphorus,0.0591,mg/L,,1.9%,,,,59.1,ppb
140,RW16-5202,Unknown,5,Chloride,1.12,mg/L,,,,,,1.12,mg/L
140,RW16-5202,Unknown,5,Sulfate,284,mg/L,,,,,,284,mg/L
140,RW16-5202,Unknown,5,TSS,5.1,mg/L,,,,,,5.1,mg/L
140,RW16-5202,Unknown,5,Nitrate-Nitrite,0.141,mg/L,,,,,,0.141,mg/L
140,RW16-5202,Unknown,5,Total Phosphorus,0.0601,mg/L,,,,,,60.1,ppb
140,RW16-5203,Unknown,25,Chloride,60.2,mg/L,,,,,,60.2,mg/L
140,RW16-5203,Unknown,25,Sulfate,734,mg/L,Y,,,,,734,mg/L
140,RW16-5203,Unknown,25,TSS,15.9,mg/L,,,,,,15.9,mg/L
140,RW16-5203,Unknown,25,Nitrate-Nitrite,0.133,mg/L,,,,,,0.133,mg/L
140,RW16-5203,Unknown,25,Total Phosphorus,0.126,mg/L,,,,,,126,ppb
140,RW16-5204,Unknown,5,Chloride,19.3,mg/L,,,,,,19.3,mg/L
140,RW16-5204,Unknown,5,Sulfate,489,mg/L,Y,,,,,489,mg/L
140,RW16-5204,Unknown,5,TSS,167.9,mg/L,,,,,,167.9,mg/L
140,RW16-5204,Unknown,5,Nitrate-Nitrite,0.36,mg/L,,,,,,0.36,mg/L
140,RW16-5204,Unknown,5,Total Phosphorus,0.18,mg/L,,,,,,180,ppb
140,RW16-5205,Unknown,5,Chloride,76.2,mg/L,,,,,,76.2,mg/L
140,RW16-5205,Unknown,5,Sulfate,431,mg/L,,,,,,431,mg/L
140,RW16-5205,Unknown,5,TSS,43.2,mg/L,,,,,,43.2,mg/L
140,RW16-5205,Unknown,5,Nitrate-Nitrite,0.511,mg/L,,,,,,0.511,mg/L
140,RW16-5205,Unknown,5,Total Phosphorus,2.48,mg/L,,,,,,2480,ppb
140,RW16-5206,Unknown,5,Chloride,19.4,mg/L,,,,,,19.4,mg/L
140,RW16-5206,Unknown,5,Sulfate,485,mg/L,Y,,,,,485,mg/L
140,RW16-5206,Unknown,5,TSS,153.9,mg/L,,,,,,153.9,mg/L
140,RW16-5206,Unknown,5,Nitrate-Nitrite,0.378,mg/L,,,,,,0.378,mg/L
140,RW16-5206,Unknown,5,Total Phosphorus,0.187,mg/L,,,,,,187,ppb
140,RW16-5207,Unknown,35,Chloride,59.7,mg/L,,100.8%,,,,59.7,mg/L
140,RW16-5207,Unknown,35,Sulfate,882,mg/L,Y,83.2%,,,,882,mg/L
140,RW16-5207,Unknown,35,TSS,18.1,mg/L,,87.8%,,,,18.1,mg/L
140,RW16-5207,Unknown,35,Nitrate-Nitrite,0.068,mg/L,,195.6%,,,,0.068,mg/L
140,RW16-5207,Unknown,35,Total Phosphorus,0.15,mg/L,,84.0%,,,,150,ppb
140,RW16-5208,Unknown,5,Chloride,3.84,mg/L,,,,,,3.84,mg/L
140,RW16-5208,Unknown,5,Sulfate,179,mg/L,,,,,,179,mg/L
140,RW16-5208,Unknown,5,TSS,65.4,mg/L,,,,,,65.4,mg/L
140,RW16-5208,Unknown,5,Nitrate-Nitrite,0.029,mg/L,,,,,,0.0294,mg/L
140,RW16-5208,Unknown,5,Total Phosphorus,0.0956,mg/L,,,,,,95.6,ppb
140,RW16-5209,Unknown,5,Chloride,13.6,mg/L,,,,,,13.6,mg/L
140,RW16-5209,Unknown,5,Sulfate,196,mg/L,,,,,,196,mg/L
140,RW16-5209,Unknown,5,TSS,51.2,mg/L,,,,,,51.2,mg/L
140,RW16-5209,Unknown,5,Nitrate-Nitrite,0.104,mg/L,,,,,,0.104,mg/L
140,RW16-5209,Unknown,5,Total Phosphorus,0.101,mg/L,,,,,,101,ppb
140,RW16-5210,Unknown,5,Chloride,25.1,mg/L,,,,,,25.1,mg/L
140,RW16-5210,Unknown,5,Sulfate,282,mg/L,Y,,,,,282,mg/L
140,RW16-5210,Unknown,5,TSS,6.9,mg/L,,,,,,6.9,mg/L
140,RW16-5210,Unknown,5,Nitrate-Nitrite,0.079,mg/L,,,,,,0.079,mg/L
140,RW16-5210,Unknown,5,Total Phosphorus,0.0861,mg/L,,,,,,86.1,ppb
140,RW16-5211,Unknown,5,Chloride,0,mg/L,,,,,,0.827,mg/L
140,RW16-5211,Unknown,5,Sulfate,271,mg/L,,,,,,271,mg/L
140,RW16-5211,Unknown,5,TSS,0,mg/L,,,,,,2.65,mg/L
